,CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192
27903,1,1,1,0,0,7,0,0,3,4,0,17,1,24,14,3,48,1,1,0,2,2,4,0,1,3,0,5,0,0,1,1,0,2,6,3,0,1,2,6,4,2
27904,3,3,2,3,0,27,1,1,2,0,1,7,0,22,11,3,28,2,3,0,1,0,8,1,0,2,0,4,2,0,0,1,0,2,4,4,0,0,0,4,0,0
27905,2,0,0,1,0,2,0,0,1,2,0,4,2,6,5,2,7,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,0,0,0,1,2,0
27906,1,0,1,3,0,2,0,0,0,1,1,1,0,12,7,3,10,0,0,0,0,0,2,0,1,1,0,4,0,0,0,1,0,1,6,2,0,1,1,0,0,1
27907,2,0,2,2,0,3,0,0,1,1,0,12,3,15,5,2,16,0,0,0,0,2,4,0,0,3,0,4,0,0,1,0,0,0,6,2,0,2,3,3,1,1
27908,2,2,2,2,0,28,3,0,4,3,0,18,3,20,25,4,292,4,5,7,1,6,190,1,1,3,1,7,3,2,3,3,0,3,8,4,0,4,2,4,6,0
27909,2,2,3,4,2,6,2,0,4,0,1,19,0,20,9,6,42,1,4,2,0,0,8,0,0,3,0,3,0,0,0,1,2,3,10,6,1,1,0,10,4,2
27910,1,2,3,1,0,13,0,0,3,0,0,11,3,20,6,1,13,0,4,2,0,0,11,0,1,0,0,5,1,0,2,0,0,0,3,2,0,0,2,2,1,3
27911,1,0,3,6,0,6,1,0,2,2,2,8,1,16,9,1,21,0,2,2,0,2,2,0,0,2,0,5,0,0,0,0,1,2,7,1,0,1,3,3,1,1
27912,0,2,2,5,1,72,2,0,0,5,2,18,5,38,22,9,61,2,3,6,1,0,2,2,1,2,1,10,2,1,2,3,0,1,10,7,0,4,5,11,1,0
27913,1,1,2,3,0,33,1,1,3,2,0,8,3,19,9,0,25,0,3,0,0,0,1,2,0,2,2,2,1,0,0,2,1,6,3,3,0,1,1,1,1,0
27914,1,1,5,6,1,43,2,0,1,1,0,9,1,18,10,6,20,0,3,6,1,0,8,1,0,5,0,2,0,0,1,0,3,2,7,4,0,1,1,6,1,1
27915,0,1,1,5,0,2,0,0,2,0,3,11,1,11,5,0,7,2,1,2,0,0,2,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2
27916,0,0,2,1,0,14,1,0,7,0,1,13,1,15,13,2,15,0,2,0,1,0,4,0,0,3,0,2,0,1,1,2,0,2,4,2,1,0,2,2,2,1
27917,1,7,2,5,1,35,2,0,4,3,0,16,2,33,22,3,36,2,1,0,0,2,6,1,0,2,0,4,0,0,0,1,0,3,8,3,0,1,2,9,1,4
27918,0,2,3,0,0,11,0,0,3,0,2,12,3,13,7,2,19,0,0,0,1,0,4,0,1,2,0,3,1,0,0,0,0,0,3,5,0,3,1,1,1,0
27919,0,1,1,3,0,85,1,1,2,2,0,11,2,14,11,5,25,0,1,0,0,0,0,0,1,1,1,2,3,0,0,0,0,3,8,1,0,2,0,5,0,1
27920,2,0,1,3,1,0,1,0,4,1,1,6,0,10,63,2,27,2,2,0,0,1,5,1,1,3,0,3,0,0,0,2,1,0,7,2,0,0,1,1,1,0
27921,2,1,1,5,0,22,3,0,2,2,1,10,0,20,11,2,15,3,1,0,0,0,6,1,0,5,0,5,1,0,0,0,0,1,9,0,0,0,2,1,4,1
27922,1,1,3,5,2,9,0,0,3,1,2,12,1,26,10,7,29,0,2,3,0,1,5,1,0,1,0,4,2,0,0,0,1,2,3,0,0,2,3,0,1,0
27923,0,1,3,5,0,16,0,0,1,2,1,15,3,14,11,6,32,0,5,2,1,1,1,1,0,3,0,1,1,0,1,1,0,2,4,4,0,1,2,6,1,1
27924,3,3,5,7,1,70,1,0,11,4,0,22,3,55,23,4,57,3,4,4,1,1,5,1,0,4,1,3,1,0,2,0,1,4,16,4,0,1,3,6,3,1
27925,3,5,4,8,0,125,2,0,11,5,1,31,2,44,30,5,83,2,5,10,3,2,8,2,0,2,0,10,0,0,2,2,0,6,18,8,0,1,7,9,3,1
27926,2,1,4,4,3,83,0,0,5,2,1,12,3,8,14,2,45,2,2,2,0,0,7,2,0,1,1,3,2,0,1,1,1,3,10,0,0,2,2,3,2,0
27927,0,1,3,5,0,6,2,0,5,2,1,11,0,17,5,1,19,1,2,3,1,1,2,1,1,1,1,3,0,0,1,1,0,2,6,4,0,1,4,2,6,0
27928,3,0,2,4,0,14,2,0,8,0,0,8,1,15,7,2,12,1,2,0,0,0,5,0,2,2,0,0,0,0,1,1,1,0,7,1,0,0,2,1,0,0
27929,2,0,5,3,1,7,2,0,0,4,0,14,0,29,8,3,19,0,1,2,0,0,5,1,0,2,0,2,1,0,1,0,0,1,3,3,0,3,4,6,3,0
27930,1,6,18,4,1,40,1,1,10,0,3,52,6,20,31,15,110,8,11,3,0,0,73,4,5,32,0,23,5,0,1,3,1,8,15,15,5,8,11,6,16,2
27931,0,0,2,2,2,9,2,0,2,2,0,9,1,14,8,2,21,1,2,0,2,1,4,0,0,4,0,5,2,1,0,0,0,0,9,5,0,0,1,2,4,0
27932,0,1,5,3,0,14,1,0,2,1,2,9,5,13,11,5,26,1,3,2,0,1,3,2,0,2,0,5,1,0,0,0,0,2,2,2,0,0,1,2,1,0
27933,2,0,3,3,1,4,1,0,3,1,1,7,0,14,5,2,17,0,0,2,1,1,7,0,1,2,0,1,1,0,0,0,0,4,4,1,0,3,2,1,1,0
27934,2,1,3,22,1,8,1,1,2,3,3,8,0,18,5,5,18,1,1,2,0,1,2,0,0,1,0,2,0,0,0,0,1,4,8,4,1,0,1,5,2,1
27935,0,3,3,2,0,15,0,0,3,2,1,7,2,19,6,3,18,1,1,0,0,1,3,1,0,1,0,4,1,0,0,0,0,1,3,2,1,2,1,1,2,1
27936,2,1,3,3,1,10,1,0,1,1,1,13,5,12,16,5,23,0,4,2,2,0,5,1,0,3,0,2,2,0,0,0,0,1,2,3,0,3,1,3,1,1
27937,0,1,2,1,1,21,1,0,3,3,0,9,0,19,10,3,20,0,1,0,1,0,4,0,0,2,0,3,0,1,3,1,0,3,3,1,0,0,3,3,1,0
27938,0,1,4,4,0,26,1,0,4,0,0,7,4,14,1,2,20,1,3,0,1,0,5,1,3,2,1,8,0,0,0,1,1,1,6,2,0,1,3,3,1,0
27939,4,0,3,10,0,8,2,0,3,4,3,11,3,11,7,6,27,1,2,2,0,1,2,2,0,2,0,2,0,0,0,0,0,1,2,8,0,0,2,4,0,0
27940,1,3,2,1,1,48,0,0,2,3,1,9,1,14,14,1,19,0,0,3,0,0,3,0,1,2,1,8,1,0,1,1,0,1,5,1,0,2,1,3,0,0
27941,2,2,3,2,0,21,0,0,3,1,0,15,0,26,9,7,38,1,5,4,0,2,8,2,2,1,1,3,1,1,0,0,0,3,5,5,2,0,4,1,2,0
27942,0,1,2,5,0,17,4,0,3,1,1,11,1,15,8,3,22,0,1,0,1,1,1,0,0,3,0,3,0,0,0,2,0,0,8,4,0,4,3,3,1,0
27943,0,0,0,1,0,3,0,0,1,2,0,1,0,1,3,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1
27944,0,1,2,5,2,42,0,1,1,0,1,7,0,7,6,2,15,1,3,0,1,1,2,0,0,3,0,6,0,0,0,2,0,4,6,4,0,2,3,1,4,1
27945,0,0,1,2,0,2,0,0,0,2,0,6,0,8,2,0,6,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0
27946,1,1,4,7,2,23,1,0,4,1,0,22,2,9,10,4,32,0,1,0,0,1,6,0,0,1,0,6,1,0,0,1,1,2,5,4,0,1,1,9,1,0
27947,2,2,1,5,1,72,0,0,2,2,0,8,1,31,12,5,19,1,1,2,0,0,5,1,0,2,0,4,0,0,0,1,1,5,5,4,1,1,4,5,1,1
27948,1,1,2,6,0,5,2,0,5,5,0,17,0,24,12,3,31,0,2,0,0,1,5,2,1,1,0,6,1,0,0,0,0,1,5,3,2,2,1,8,0,0
