CD3,CD4,CD8a,CD69,CD62L,CD44,CD25,CD127,TCRgd,CD19,IgM,CD335,NK-1.1,CD90.2,I-A-I-E,CD45R,CD11b,CD172a,XCR1,CD103,CD64,CD11c,CD24,CD326,CD195,CD196,CXCR4,CD134,CD278,CD223,CD274,KLRG1,CD27,CD21-CD35,CD86,IgD,CD1d,CD138,CD117,CX3CR1,F4-80,CD192,Species,Sample
0,1,0,4,1,67,1,1,0,0,0,1,2,1,20,2,5,1,1,1,0,1,5,2,0,0,0,0,2,0,5,0,0,0,1,0,0,2,9,1,0,0,HUMAN,EtOH1
0,1,0,0,2,33,0,1,3,2,1,13,1,10,28,2,28,1,2,10,0,3,2,0,0,0,0,2,0,0,0,1,0,1,3,2,0,0,0,1,1,0,HUMAN,EtOH1
0,0,0,0,1,27,0,0,2,0,0,5,3,3,12,1,18,0,0,8,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,HUMAN,EtOH1
1,3,4,0,4,103,1,0,8,2,1,19,1,16,34,8,42,1,0,3,1,2,5,0,0,0,0,5,2,1,2,0,0,7,3,4,1,2,3,0,1,1,HUMAN,EtOH1
1,0,1,0,0,10,0,0,0,0,0,3,0,2,11,2,8,0,1,4,0,2,5,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,HUMAN,EtOH1
0,2,0,0,0,1,0,0,2,0,0,4,1,4,5,1,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HUMAN,EtOH1
0,0,1,8,0,18,0,0,4,2,0,4,3,9,16,1,19,0,1,0,1,1,1,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,3,0,1,0,HUMAN,EtOH1
2,0,1,1,2,50,2,0,4,1,0,14,1,10,33,3,36,1,0,5,0,1,2,0,0,2,0,5,0,0,0,0,1,4,3,4,0,1,3,2,0,0,HUMAN,EtOH1
1,1,0,0,0,5,0,0,2,0,0,4,2,4,4,1,8,0,1,2,0,1,1,0,0,3,0,3,0,0,1,0,0,0,1,1,0,0,1,1,0,0,HUMAN,EtOH1
0,0,0,0,0,8,1,0,1,1,0,5,0,7,9,4,14,0,2,3,0,0,0,1,0,0,0,3,0,0,0,2,0,0,1,0,0,0,2,1,0,1,HUMAN,EtOH1
0,0,3,2,0,13,1,0,2,0,1,4,0,2,16,2,10,0,0,5,0,0,0,2,0,2,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,HUMAN,EtOH1
2,1,1,2,1,5,0,0,3,2,1,2,1,2,5,1,13,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,1,0,HUMAN,EtOH1
1,1,3,0,3,105,0,0,5,2,0,15,0,8,34,5,21,0,0,6,2,2,3,0,0,4,0,6,0,0,1,0,0,1,1,4,0,0,1,2,0,0,HUMAN,EtOH1
2,1,2,1,2,32,0,0,4,0,0,12,1,6,21,3,26,0,4,3,0,1,5,0,0,3,0,3,1,0,0,0,0,1,2,2,0,0,2,3,1,0,HUMAN,EtOH1
0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HUMAN,EtOH1
1,0,3,0,0,11,1,0,2,0,0,6,2,4,9,0,13,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,2,3,0,0,2,0,1,0,0,HUMAN,EtOH1
0,1,3,1,1,5,1,1,1,0,1,5,2,7,7,1,15,0,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,1,3,2,0,1,0,0,2,0,HUMAN,EtOH1
1,1,4,4,1,97,1,0,5,2,0,11,1,8,26,3,32,1,2,3,1,5,4,0,0,2,0,4,0,0,0,0,1,2,4,1,0,0,5,0,2,0,HUMAN,EtOH1
0,0,1,1,0,17,0,0,3,0,0,7,0,3,7,2,11,1,0,4,0,2,2,1,0,1,0,2,0,0,1,0,0,0,2,1,0,0,1,0,0,0,HUMAN,EtOH1
1,0,1,0,2,12,0,0,1,0,1,2,1,4,8,4,9,2,3,1,0,0,4,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2,0,1,1,0,HUMAN,EtOH1
1,0,1,0,3,38,0,0,3,1,0,10,1,5,20,3,10,0,1,2,0,1,1,1,1,2,1,6,0,0,0,0,1,1,1,1,0,0,2,2,1,0,HUMAN,EtOH1
